ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,12,5,2017-09-23,3,3.31469736813029e-05
0.0,0.0,12,5,2017-09-30,4,4.419596490840386e-05
0.0,0.0,12,5,2017-10-07,8,8.839192981680772e-05
0.0,0.0,12,5,2017-10-14,8,8.839192981680772e-05
0.0,0.0,12,5,2017-10-21,11,0.00012153890349811062
0.0,0.0,12,5,2017-10-28,3,3.31469736813029e-05
0.0,0.0,12,6,2017-09-17,2,2.209798245420193e-05
0.0,0.0,12,6,2017-09-24,4,4.419596490840386e-05
0.0,0.0,12,6,2017-10-01,2,2.209798245420193e-05
0.0,0.0,12,6,2017-10-08,2,2.209798245420193e-05
0.0,0.0,12,6,2017-10-22,2,2.209798245420193e-05
0.0,0.0,12,6,2017-10-29,3,3.31469736813029e-05
0.0,0.0,13,0,2017-09-11,3,3.31469736813029e-05
0.0,0.0,13,0,2017-09-18,3,3.31469736813029e-05
0.0,0.0,13,0,2017-09-25,4,4.419596490840386e-05
0.0,0.0,13,0,2017-10-09,7,7.734293858970676e-05
0.0,0.0,13,0,2017-10-16,5,5.524495613550483e-05
0.0,0.0,13,0,2017-10-23,6,6.62939473626058e-05
0.0,0.0,13,0,2017-10-30,5,5.524495613550483e-05
0.0,0.0,13,1,2017-09-05,2,2.209798245420193e-05
0.0,0.0,13,1,2017-09-12,2,2.209798245420193e-05
0.0,0.0,13,1,2017-09-19,5,5.524495613550483e-05
0.0,0.0,13,1,2017-09-26,4,4.419596490840386e-05
0.0,0.0,13,1,2017-10-03,4,4.419596490840386e-05
0.0,0.0,13,1,2017-10-10,7,7.734293858970676e-05
0.0,0.0,13,1,2017-10-17,6,6.62939473626058e-05
0.0,0.0,13,1,2017-10-24,3,3.31469736813029e-05
0.0,0.0,13,1,2017-10-31,9,9.944092104390869e-05
0.0,0.0,13,2,2017-09-06,5,5.524495613550483e-05
0.0,0.0,13,2,2017-09-13,7,7.734293858970676e-05
0.0,0.0,13,2,2017-09-20,9,9.944092104390869e-05
0.0,0.0,13,2,2017-09-27,8,8.839192981680772e-05
0.0,0.0,13,2,2017-10-04,3,3.31469736813029e-05
0.0,0.0,13,2,2017-10-11,3,3.31469736813029e-05
0.0,0.0,13,2,2017-10-18,6,6.62939473626058e-05
0.0,0.0,13,2,2017-10-25,5,5.524495613550483e-05
0.0,0.0,13,3,2017-09-07,3,3.31469736813029e-05
0.0,0.0,13,3,2017-09-14,3,3.31469736813029e-05
0.0,0.0,13,3,2017-09-21,3,3.31469736813029e-05
0.0,0.0,13,3,2017-09-28,3,3.31469736813029e-05
0.0,0.0,13,3,2017-10-05,9,9.944092104390869e-05
0.0,0.0,13,3,2017-10-12,5,5.524495613550483e-05
0.0,0.0,13,3,2017-10-19,6,6.62939473626058e-05
0.0,0.0,13,3,2017-10-26,3,3.31469736813029e-05
0.0,0.0,13,4,2017-09-01,3,3.31469736813029e-05
0.0,0.0,13,4,2017-09-08,8,8.839192981680772e-05
0.0,0.0,13,4,2017-09-15,3,3.31469736813029e-05
0.0,0.0,13,4,2017-09-22,5,5.524495613550483e-05
0.0,0.0,13,4,2017-09-29,4,4.419596490840386e-05
